circuit_type,num_qubits,ordering,step,pass_name,Circuit Depth,Gate Count,2Q Count,2Q Depth,status,error
DJ Circuit,5,ALL,0,Baseline (no optimization),19.0,43.0,7.0,7.0,success,
DJ Circuit,5,Order_A (Q-T-B-Q-T-B),1,Qiskit:Optimize1qGateDecomp,17.0,38.0,7.0,7.0,success,
DJ Circuit,5,Order_A (Q-T-B-Q-T-B),2,TKet:CliffordSimp,7.0,17.0,4.0,4.0,success,
DJ Circuit,5,Order_A (Q-T-B-Q-T-B),3,BQSKit:ScanningGateRemoval,4.0,7.0,4.0,4.0,success,
DJ Circuit,5,Order_A (Q-T-B-Q-T-B),4,Qiskit:CommutativeCancel,4.0,7.0,4.0,4.0,success,
DJ Circuit,5,Order_A (Q-T-B-Q-T-B),5,TKet:KAKDecomposition,4.0,4.0,4.0,4.0,success,
DJ Circuit,5,Order_A (Q-T-B-Q-T-B),6,BQSKit:GroupSingleQuditGate,4.0,4.0,4.0,4.0,success,
DJ Circuit,5,Order_B (T-B-Q-T-B-Q),1,TKet:CliffordSimp,7.0,17.0,4.0,4.0,success,
DJ Circuit,5,Order_B (T-B-Q-T-B-Q),2,BQSKit:ScanningGateRemoval,5.0,6.0,4.0,4.0,success,
DJ Circuit,5,Order_B (T-B-Q-T-B-Q),3,Qiskit:Optimize1qGateDecomp,4.0,4.0,4.0,4.0,success,
DJ Circuit,5,Order_B (T-B-Q-T-B-Q),4,TKet:KAKDecomposition,4.0,4.0,4.0,4.0,success,
DJ Circuit,5,Order_B (T-B-Q-T-B-Q),5,BQSKit:GroupSingleQuditGate,4.0,4.0,4.0,4.0,success,
DJ Circuit,5,Order_B (T-B-Q-T-B-Q),6,Qiskit:CommutativeCancel,4.0,4.0,4.0,4.0,success,
DJ Circuit,5,Order_C (B-Q-T-B-Q-T),1,BQSKit:ScanningGateRemoval,15.0,24.0,7.0,7.0,success,
DJ Circuit,5,Order_C (B-Q-T-B-Q-T),2,Qiskit:Optimize1qGateDecomp,14.0,20.0,7.0,7.0,success,
DJ Circuit,5,Order_C (B-Q-T-B-Q-T),3,TKet:CliffordSimp,6.0,13.0,4.0,4.0,success,
DJ Circuit,5,Order_C (B-Q-T-B-Q-T),4,BQSKit:GroupSingleQuditGate,6.0,13.0,4.0,4.0,success,
DJ Circuit,5,Order_C (B-Q-T-B-Q-T),5,Qiskit:CommutativeCancel,6.0,13.0,4.0,4.0,success,
DJ Circuit,5,Order_C (B-Q-T-B-Q-T),6,TKet:KAKDecomposition,4.0,4.0,4.0,4.0,success,
GHZ Circuit,5,ALL,0,Baseline (no optimization),8.0,12.0,4.0,4.0,success,
GHZ Circuit,5,Order_A (Q-T-B-Q-T-B),1,Qiskit:Optimize1qGateDecomp,8.0,12.0,4.0,4.0,success,
GHZ Circuit,5,Order_A (Q-T-B-Q-T-B),2,TKet:CliffordSimp,6.0,10.0,4.0,4.0,success,
GHZ Circuit,5,Order_A (Q-T-B-Q-T-B),3,BQSKit:ScanningGateRemoval,4.0,4.0,4.0,4.0,success,
GHZ Circuit,5,Order_A (Q-T-B-Q-T-B),4,Qiskit:CommutativeCancel,4.0,4.0,4.0,4.0,success,
GHZ Circuit,5,Order_A (Q-T-B-Q-T-B),5,TKet:KAKDecomposition,4.0,4.0,4.0,4.0,success,
GHZ Circuit,5,Order_A (Q-T-B-Q-T-B),6,BQSKit:GroupSingleQuditGate,4.0,4.0,4.0,4.0,success,
GHZ Circuit,5,Order_B (T-B-Q-T-B-Q),1,TKet:CliffordSimp,6.0,10.0,4.0,4.0,success,
